model,target,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
ExtraTrees,avgActiveTransceivers,2.5723111111111114,0.3594554825713713,3.2346586130732535,0.48381166888066834,0.7094849468619179,0.14662932428090805
HistGB,avgActiveTransceivers,3.471959232408589,0.4254743268762844,4.316221890436561,0.5490506836095347,0.46203414996409187,0.33574137029310247
RandomForest,avgActiveTransceivers,3.0837000000000008,0.5882116484169062,3.812916169091672,0.778126995298728,0.5857630290347796,0.25015304615360934
ExtraTrees,avgHighestSlot,4.675848706004956,0.9199574487786473,5.837642219859089,0.9890289089845626,-0.07405266624595729,0.19906497330601788
HistGB,avgHighestSlot,5.411240779155056,0.8169160471126022,6.717483860850441,0.7928164684265075,-0.46716570019341913,0.3994178938329424
RandomForest,avgHighestSlot,5.578164667777061,0.9336393138200497,6.857690599022894,1.0385519809439605,-0.510547365361675,0.37177287435623124
ExtraTrees,highestSlot,9.215046317781702,1.3463078023539437,11.471828003117166,1.7220076570835758,-0.17984096010148523,0.17688281220270824
HistGB,highestSlot,9.576790776082195,1.2769142450417852,11.865507227420897,1.545347377113121,-0.3058532059202462,0.36671202121184016
RandomForest,highestSlot,10.07204007106793,1.5715506874158767,12.527707497315806,2.2094238942445763,-0.4012091961301562,0.24429715880753422
ExtraTrees,sumOfSlots,175.04604921200504,38.22683555099345,208.4070464677919,42.287030659490505,0.12029455335013718,0.23569651186942608
HistGB,sumOfSlots,205.5523316809601,30.78982779665941,249.84610864234244,33.94038457489156,-0.3167791225344897,0.47112435855224394
RandomForest,sumOfSlots,201.5527682842341,30.830820404174588,246.27298747163783,35.25303085645546,-0.26579005918232906,0.38448970464733273
