model,target,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
ExtraTrees,avgActiveTransceivers,2.5953333333333335,0.26822896521028017,3.2308617753226194,0.21114336857335356,0.7425972298516352,0.055672867456898714
HistGB,avgActiveTransceivers,3.2571650827302974,0.541443936783997,4.0946102443466526,0.5977203862500534,0.5808600236771895,0.1369412430204955
RandomForest,avgActiveTransceivers,2.689475000000001,0.3681222190047756,3.2987216424844368,0.39419050014527773,0.7290358530606725,0.07469645697911872
ExtraTrees,avgHighestSlot,5.631835913495258,0.711074201008871,7.07892590423206,0.99667174685056,0.05848030411642965,0.15653097894805915
HistGB,avgHighestSlot,6.315855703118586,0.8167407320567568,7.787133719075479,1.2390345250434165,-0.14498708442734826,0.25957412916767897
RandomForest,avgHighestSlot,6.353799483191542,0.536554360182868,7.840148130276316,0.8769896674570552,-0.18727939960286058,0.3464782750553109
ExtraTrees,highestSlot,18.99920982576781,2.5343260114037895,25.14335994224927,4.114413512225648,-0.07170139343428567,0.21816078793383678
HistGB,highestSlot,23.622693887931124,2.075962362121895,30.869195839076916,3.6433532335156777,-0.6392216845711641,0.32320726196515603
RandomForest,highestSlot,22.79395734487258,3.4028672853630058,29.931381866756595,4.519661648695337,-0.61056353883233,0.784621829366214
ExtraTrees,sumOfSlots,156.92115356611296,33.16298352163686,193.5325109864376,36.40066776635372,0.13898594436974365,0.18933046374982418
HistGB,sumOfSlots,169.7274471266905,31.733328812404945,213.77567401936426,31.905100044903886,-0.0677335911125244,0.2527980509849766
RandomForest,sumOfSlots,172.78937522458946,27.45845766176827,210.40220040383593,28.37599910793585,-0.08368985819353195,0.4152779202656286
