model,target,MAE,RMSE,R2,MAPE,WAPE
RandomForest,highestSlot,8.888940693376506,12.104897907182673,0.05122666832870071,8.461257101124872,8.924639250378018
ExtraTrees,avgHighestSlot,4.409971835303905,5.615132507827153,0.09776235644133169,6.478829221091119,6.5235304733715545
RandomForest,sumOfSlots,131.40888113476302,162.27349965221566,0.4699644936749925,3.507358852924679,3.519158060436599
RandomForest,avgActiveTransceivers,2.5013333333333305,3.018601957492534,0.8626683077953616,1.2361577905007006,1.2352263374485584
