model,target,MAE,RMSE,R2,MAPE,WAPE
ExtraTrees,avgActiveTransceivers,2.4160833333333342,3.105808603783134,0.8546187327304696,1.1850044364834231,1.1931275720164614
HistGB,avgActiveTransceivers,3.3472711315390327,4.129500856665675,0.7429875308937071,1.6323813045187687,1.6529733982908805
RandomForest,avgActiveTransceivers,2.5013333333333305,3.018601957492534,0.8626683077953616,1.2361577905007006,1.2352263374485584
ExtraTrees,avgHighestSlot,4.410110547892823,5.615480865357913,0.09765040502194555,6.478647460189714,6.523735666473607
HistGB,avgHighestSlot,6.044747277275567,7.539087549379676,-0.6264416890698143,8.92324895763181,8.941801566952511
RandomForest,avgHighestSlot,4.430867779834562,5.654078490963415,0.08520329728150677,6.506522762858309,6.554441176660941
ExtraTrees,highestSlot,8.952560159597265,12.112749440597252,0.049995473901262466,8.503888306443914,8.988514216463118
HistGB,highestSlot,10.3490681424537,12.917029627261158,-0.08035259253783056,10.115499487581825,10.390630665114156
RandomForest,highestSlot,8.888940693376577,12.10489790718273,0.051226668328691716,8.46125710112495,8.92463925037809
ExtraTrees,sumOfSlots,138.40625588585075,164.47198696448,0.45550532515467035,3.7009896917513623,3.706549259148142
HistGB,sumOfSlots,206.1527594490316,255.35861891625208,-0.31253471911118624,5.495818751182842,5.520815174982769
RandomForest,sumOfSlots,131.40888113476208,162.2734996522135,0.4699644936750067,3.5073588529246558,3.519158060436573
