target,MAE,RMSE,R2
highestSlot,8.940074764037286,12.213308658261415,0.03415625238304021
avgHighestSlot,4.411633063032204,5.66685723806697,0.08106357197296454
sumOfSlots,142.67371909317686,170.9595677812309,0.4117030716186356
avgActiveTransceivers,2.3866666666666645,3.0732284870040694,0.8576528510424518
