model,target,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
ExtraTrees,avgActiveTransceivers,2.5599777777777777,0.35637299366995234,3.1807330415410076,0.35034753106504013,0.7465654275254452,0.07412276627722349
HistGB,avgActiveTransceivers,3.38725397929855,0.4426503297793483,4.1924721542225,0.5338184684716185,0.5631065894132391,0.11388119507520644
RandomForest,avgActiveTransceivers,2.811883333333333,0.5313350313649156,3.4904285923017313,0.6184492639194796,0.6917607528846116,0.11111392912997647
ExtraTrees,avgHighestSlot,5.702771595135396,0.6916168530461444,7.119678404772782,0.9516969299343623,0.03537610271060587,0.13428801231082294
HistGB,avgHighestSlot,6.249906856833349,0.727742822650138,7.690979376710473,1.0705619794241419,-0.1338120059572178,0.22275888019425716
RandomForest,avgHighestSlot,6.548311052520532,0.6098208453662103,8.04185111399221,0.8952653000266402,-0.2549200642694025,0.28322385458334093
ExtraTrees,highestSlot,19.54030251504764,2.813546143688463,26.073705598156476,4.586151416613043,-0.199838103765634,0.310192166432659
HistGB,highestSlot,23.064090838820402,2.398931356512809,30.335814240683373,4.023649579549378,-0.6500680885435912,0.42483643347037403
RandomForest,highestSlot,22.994160499135496,4.170554454118832,30.754691405122554,5.877643241000281,-0.7824878520865268,1.0003413283797995
ExtraTrees,sumOfSlots,155.33138969138665,30.5735546304392,194.409641300425,35.41476969424294,0.14107323253831927,0.14541326809130783
HistGB,sumOfSlots,166.9622116905587,25.99959862445243,211.4434810713203,30.682957504678537,-0.04241127272965143,0.2579763758853863
RandomForest,sumOfSlots,174.82391511748853,23.86817009599025,213.72990903589846,25.53364363973334,-0.10624867614408888,0.3867568259426182
