model,target,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
ExtraTrees,avgActiveTransceivers,2.5792666666666664,0.32630070657464216,3.2072931080521676,0.31937431969102736,0.7418139696724898,0.0747966445094068
HistGB,avgActiveTransceivers,3.1339610342366298,0.4654505274041069,3.9050123120509577,0.5808546363476577,0.6186277658349055,0.11184483717967032
RandomForest,avgActiveTransceivers,2.7794833333333337,0.5405055462764058,3.482550043656514,0.6542863364725602,0.6951675283263412,0.10672294359477057
ExtraTrees,avgHighestSlot,5.4951729253842725,0.7122121577522506,6.93999413855741,1.017689214124417,0.08402918324650965,0.14614721850378862
HistGB,avgHighestSlot,5.65927279468484,0.6552838852185752,7.071049951261353,1.0557427250304074,0.04408847699906852,0.18260042951489652
RandomForest,avgHighestSlot,6.318446145486656,0.6441168283306931,7.799672130390524,0.9841904717961042,-0.19151533893202,0.3596118895592474
ExtraTrees,highestSlot,19.548289378725574,3.06308372887051,25.92023670008665,4.816513207126236,-0.17637100188194246,0.2647529968271247
HistGB,highestSlot,21.865163833119013,3.159627672997426,28.243021104557023,3.572991657430615,-0.42751614207333855,0.32881282287065566
RandomForest,highestSlot,21.59389704932954,3.9317363644236183,28.566966241308695,5.5333205824138085,-0.46770877539450784,0.5472840179361952
ExtraTrees,sumOfSlots,154.35831507648578,32.14710602869492,193.5216148022883,38.08682264130122,0.15091865839924623,0.15844635056015957
HistGB,sumOfSlots,167.62698832810312,28.4798316762538,208.4961044688269,36.67178418084237,0.007630434506094264,0.21248904052259238
RandomForest,sumOfSlots,173.64208281256742,26.79083694931841,215.64324351544806,31.97099648793544,-0.1229601411262427,0.4121124616763908
