model,target,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
ExtraTrees,avgActiveTransceivers,2.644488888888889,0.3689066100161129,3.3119782898894607,0.4945574451569271,0.698997486279458,0.14132643382365329
HistGB,avgActiveTransceivers,3.3148087868204845,0.47918160928509707,4.285683361696012,0.6633557531945456,0.48733694185088267,0.31588734553727854
RandomForest,avgActiveTransceivers,3.125533333333333,0.6474308448698505,3.830532556314726,0.8842734315129253,0.5836114337519996,0.2393680785329379
ExtraTrees,avgHighestSlot,4.716917114258369,0.9057464959641296,5.88317356530625,0.9622512501521523,-0.09060534700821093,0.1891804514026852
HistGB,avgHighestSlot,5.6219923151384625,0.753027775208559,6.900537487657443,0.8213021627328848,-0.5529432554360412,0.4379595534926316
RandomForest,avgHighestSlot,5.486242953766381,1.0651308472832965,6.774548616258682,1.1119143130378448,-0.4793296253353223,0.41975022607158397
ExtraTrees,highestSlot,8.977986084877918,1.2419916800318926,11.275576777688912,1.6362759679649714,-0.14216622620937086,0.17678232976948635
HistGB,highestSlot,9.892247957207932,1.4406557664491164,12.312941924792613,1.7958587636217236,-0.3906917467950392,0.3678702103117806
RandomForest,highestSlot,10.008376859616586,1.6293139494518252,12.377167426489498,1.9512314213684487,-0.3745447430864284,0.23970916508342016
ExtraTrees,sumOfSlots,176.3227866058727,36.960220793278594,211.01013989029715,40.49460243923651,0.0935521635849733,0.2514909942092119
HistGB,sumOfSlots,205.62502239981006,26.84797938841872,249.41596194601343,31.381251406836924,-0.3293486145275829,0.5425874982818516
RandomForest,sumOfSlots,195.604474795182,26.62638547289564,241.03130419706383,31.77559509775125,-0.21329025450695976,0.36279008748107133
