model,target,MAE,RMSE,R2,MAPE,WAPE
ExtraTrees,avgActiveTransceivers,2.74641666666667,3.455548537416954,0.711574500134192,1.3801423886689252,1.3663764510779453
HistGB,avgActiveTransceivers,3.536142673166944,4.174613143056337,0.5790484325077605,1.7603389179179283,1.759274961774599
RandomForest,avgActiveTransceivers,2.658666666666666,3.2987085014862685,0.7371623725174448,1.3351708902912576,1.3227197346600328
ExtraTrees,avgHighestSlot,5.488905688780794,6.721084653381705,0.16637226647283665,8.618587005216819,8.314885990306143
HistGB,avgHighestSlot,5.777659083539449,7.233211240478877,0.034492346726370804,9.217233993518839,8.752304975594882
RandomForest,avgHighestSlot,5.501658535262968,6.574156839589881,0.20242130369992795,8.652288357714712,8.334204679779694
ExtraTrees,highestSlot,16.110813891798973,18.192271313631718,-0.058906999892136325,12.048008336184326,11.341650047024972
HistGB,highestSlot,21.804169098517942,26.429785540742014,-1.2349676888460652,16.375854293048246,15.349643856753215
RandomForest,highestSlot,17.5798372770122,19.87318908522065,-0.2636275907403933,13.077462829844144,12.37580941711524
ExtraTrees,sumOfSlots,142.11386344374398,167.08381462765712,0.24945521558221773,4.657314949061547,4.583578888687114
HistGB,sumOfSlots,187.3752791986186,229.9156961702015,-0.4211669199336052,6.154434539563062,6.043389104938514
RandomForest,sumOfSlots,144.54055147130822,166.81166792914766,0.2518982042979695,4.734829914799972,4.66184652382868
