model,target,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
ExtraTrees,avgActiveTransceivers,2.598926666666667,0.42980731620886464,3.271924553748083,0.5976016353562018,0.7227545933357962,0.11671100372738072
HistGB,avgActiveTransceivers,3.499117141731082,0.47402200004551537,4.406541850494053,0.6176707438804706,0.479694120521505,0.2636844579028425
RandomForest,avgActiveTransceivers,3.043825,0.5157633402298,3.779093887098224,0.6119465805908508,0.6206697202928404,0.18286410626611946
ExtraTrees,avgHighestSlot,4.657716915291505,0.7062850702137701,5.876043236404006,0.7593986375764226,-0.07385595105940927,0.19639656378629342
HistGB,avgHighestSlot,5.454085007242027,0.6667604641664169,6.7324209289202654,0.7059020210918956,-0.431394374345256,0.3297639334832018
RandomForest,avgHighestSlot,5.442813716391954,0.7117726993523897,6.778496987437507,0.8093253132076276,-0.45913340076531756,0.3908922337038037
ExtraTrees,highestSlot,9.248880961878918,1.4150307862158669,11.522516758964759,1.700931035112224,-0.1705010907996902,0.2037819261529079
HistGB,highestSlot,9.700922435531341,1.2620182657065224,12.010650786292837,1.6151646328460216,-0.29834017702643234,0.3405563365424471
RandomForest,highestSlot,10.176738934934303,1.5942484551814262,12.653753271285558,1.9521806662610701,-0.42307354649131207,0.3220712472885074
ExtraTrees,sumOfSlots,177.09324301006475,28.722728362602304,213.10283873264925,30.796015037933856,0.11673686689897249,0.20787889965380224
HistGB,sumOfSlots,208.64742376751508,24.346885030791043,252.1536866766654,26.10287530122693,-0.2643756016039238,0.3813966871278364
RandomForest,sumOfSlots,197.68624749431095,29.782482966615248,242.97526177985873,31.40319865839064,-0.16751015470004402,0.339103024691042
